sintomas,especialidad
Hay presencia de tengo un dolorcito de cabeza intermitente.,Medicina General
"Disfagia progresiva, también refiere pérdida de peso caquectizante.",Oncología
Ayúdeme con edema angioneurótico que no pasa.,Alergología
La presión no me baja con nada y además amanecí con los ojos hinchados.,Nefrología
"Tengo bolas en el cuello y axilas, acompañado de mojo la cama de sudor en la noche.",Infectología
Me mareo si muevo la cabeza y además no puedo ni tragar del dolor de garganta.,Otorrinolaringología
Ayúdeme con rinorrea hialina desde hace 3 días.,Medicina General
Presenta odontalgia severa y dice que me duele la muela horrible.,Odontología
"Hipertensión arterial descontrolada, acompañado de edema en miembros inferiores.",Cardiología
"Tengo no tengo ganas de hacer nada, solo llorar que no pasa.",Psiquiatría
Tengo traumatismo craneoencefálico que no pasa.,Emergencias
Desde ayer tengo se me hinchó la boca y los ojos de inicio súbito.,Alergología
Me da dermatitis atópica de inicio súbito.,Dermatología
Me da distensión abdominal constante.,Gastroenterología
El guagua está hirviendo en fiebre y siente le salieron granitos en todo el cuerpo.,Pediatría
Paciente refiere que erupción exantemática desde esta mañana.,Pediatría
Ayúdeme con me duele toda la cabeza como si tuviera una vincha de inicio súbito.,Neurología
"El nene no para de llorar, sumado a todo lo que come lo vomita.",Pediatría
Manifiesta disnea de esfuerzo desde hace 3 días.,Cardiología
"Micosis cutánea, también refiere acné nódulo-quístico.",Dermatología
Presento angina de pecho estable hace una semana.,Cardiología
Indica tener cólico renoureteral desde esta mañana.,Urología
Desde ayer tengo me siento muy nervioso y con miedo desde hace 3 días.,Psiquiatría
"Dismenorrea incapacitante, sumado a prurito vulvar.",Ginecología
Tengo el colon inflamado con estoy amarillo como patito.,Gastroenterología
Dolor pleurítico con tos productiva con esputo.,Neumología
Me duelen los senos antes de la menstruación y además me baja la regla muy fuerte y a deshora.,Ginecología
Indica tener fiebre de origen desconocido de inicio súbito.,Infectología
Me da me enronché después de tomar la pastilla desde esta mañana.,Alergología
Manifiesta insomnio de conciliación hace una semana.,Psiquiatría
Anafilaxia y además traumatismo craneoencefálico.,Emergencias
Desde ayer tengo cervicalgia post-latigazo constante.,Traumatología
Acude por presentar disfagia progresiva intermitente.,Oncología
Presenta edema en miembros inferiores y dice que se me va el aire al subir gradas.,Cardiología
Acude por presentar la luz me molesta muchísimo constante.,Oftalmología
"Doctor, tengo proteinuria espumosa hace una semana.",Nefrología
"Hematuria macroscópica, también refiere dolor testicular agudo.",Urología
Acude por presentar leucorrea fétida de inicio súbito.,Ginecología
Acude por presentar se me hinchó la boca y los ojos desde hace 3 días.,Alergología
Acude por presentar se me está cayendo el pelo por parches desde esta mañana.,Dermatología
"Miodesopsias, acompañado de disminución de la agudeza visual.",Oftalmología
"Tengo el cuello tieso por el frenazo, también refiere me duele la cintura bajito.",Traumatología
Manifiesta dermatitis atópica constante.,Dermatología
Siento que siento hormigueo en medio cuerpo desde hace 3 días.,Neurología
Acude por presentar tengo morado y soplado después del golpe intermitente.,Traumatología
Se queja de irritabilidad y llanto constante hace una semana.,Pediatría
Paciente refiere que disminución de la agudeza visual de inicio súbito.,Oftalmología
Acude por presentar alucinaciones auditivas de inicio súbito.,Psiquiatría
Presenta migraña con aura y dice que le dio el ataque y se sacudió.,Neurología
Hay presencia de hemorragia digestiva oculta de inicio súbito.,Oncología
"No puedo ni tragar del dolor de garganta, acompañado de me duele full el oído derecho.",Otorrinolaringología
Manifiesta distensión abdominal de inicio súbito.,Gastroenterología
"Doctor, tengo hematuria macroscópica desde esta mañana.",Urología
"Migraña con aura, acompañado de crisis convulsiva tónico-clónica.",Neurología
"Doctor, tengo tengo sangre en las heces desde hace 3 días.",Oncología
Tengo casi no estoy orinando nada constante.,Nefrología
"Me tiemblan las manos, acompañado de tengo mucha sed y orino bastante.",Endocrinología
Hay presencia de oliguria desde esta mañana.,Nefrología
Indica tener no puedo mover la rodilla ni un poquito que no pasa.,Traumatología
Paciente refiere que tengo el ojo rojo como tomate desde hace 3 días.,Oftalmología
Desde ayer tengo ideación suicida desde esta mañana.,Psiquiatría
Presenta pérdida de peso caquectizante y dice que se me atranca la comida al pasar.,Oncología
Hay presencia de tengo el colon inflamado constante.,Gastroenterología
Hay presencia de dolor precordial opresivo que no pasa.,Cardiología
Acude por presentar otalgia derecha desde esta mañana.,Otorrinolaringología
Tengo tengo el cuello tieso por el frenazo desde hace 3 días.,Traumatología
Ayúdeme con le dio el ataque y se sacudió intermitente.,Neurología
Me da estoy vomitando sangre de inicio súbito.,Gastroenterología
"Odontalgia severa, acompañado de halitosis.",Odontología
Se queja de me palpita feo el corazón desde hace 3 días.,Cardiología
"Me sale sangre de la nariz, sumado a me duele full el oído derecho.",Otorrinolaringología
Indica tener siento como una pata de elefante en el pecho de inicio súbito.,Cardiología
Presento traumatismo craneoencefálico de inicio súbito.,Emergencias
Siento que tengo el colon inflamado hace una semana.,Gastroenterología
Palpitaciones taquicárdicas y además edema en miembros inferiores.,Cardiología
Me da intolerancia al frío constante.,Endocrinología
Se quemó con agua hirviendo y siente se cortó feo y sale mucha sangre.,Emergencias
Me da ideación suicida constante.,Psiquiatría
Indica tener hiperemia conjuntival constante.,Oftalmología
"Me palpita feo el corazón, sumado a siento como una pata de elefante en el pecho.",Cardiología
Desde ayer tengo se cortó feo y sale mucha sangre que no pasa.,Emergencias
"Estoy aventado, también refiere estoy amarillo como patito.",Gastroenterología
Paciente refiere que me pica la nariz y los ojos de inicio súbito.,Alergología
Tengo hematemesis intermitente.,Gastroenterología
Me da me estoy secando de lo flaco desde esta mañana.,Oncología
Me da rechinar los dientes al dormir constante.,Odontología
Presenta disnea paroxística nocturna y dice que me chilla el pecho al respirar.,Neumología
Desde ayer tengo edema y equimosis post-traumática intermitente.,Traumatología
Me da tengo sarpullido que pica mucho intermitente.,Dermatología
Presento mastalgia cíclica de inicio súbito.,Ginecología
Tengo disfagia progresiva hace una semana.,Oncología
Siento que me hinca el corazón hace una semana.,Cardiología
Acude por presentar estoy aventado constante.,Gastroenterología
Acude por presentar tengo las piernas hinchadas como tamal constante.,Cardiología
Se queja de rechinar los dientes al dormir desde hace 3 días.,Odontología
Siento que me duele la muela horrible constante.,Odontología
Paciente refiere que tengo la presión por las nubes intermitente.,Cardiología
Indica tener tengo hongos en la piel constante.,Dermatología
Hay presencia de no puedo ni tragar del dolor de garganta desde hace 3 días.,Otorrinolaringología
Desde ayer tengo dismenorrea incapacitante hace una semana.,Ginecología
Indica tener intolerancia al frío que no pasa.,Endocrinología
Indica tener me duele la muela horrible que no pasa.,Odontología
"Síndrome febril agudo, acompañado de adenopatías generalizadas.",Infectología
"Reflujo gastroesofágico, acompañado de hematemesis.",Gastroenterología
"Miodesopsias, sumado a hiperemia conjuntival.",Oftalmología
Hay presencia de intolerancia a la vía oral hace una semana.,Pediatría
Manifiesta reflujo gastroesofágico intermitente.,Gastroenterología
Polidipsia y poliuria con temblor distal fino.,Endocrinología
Indica tener me hinca el corazón de inicio súbito.,Cardiología
Presento tiene una tos que no se le quita que no pasa.,Pediatría
Polidipsia y poliuria y siente diaforesis excesiva.,Endocrinología
Presento reacción a medicamentos desde hace 3 días.,Alergología
Ayúdeme con hiperemia conjuntival constante.,Oftalmología
Ayúdeme con ya no veo bien las letras de lejos intermitente.,Oftalmología
Indica tener prurito ocular y nasal que no pasa.,Alergología
"Doctor, tengo me salieron ampollas dolorosas de inicio súbito.",Infectología
Paciente refiere que tengo sangre en las heces intermitente.,Oncología
Se queja de parestesias en hemicuerpo intermitente.,Neurología
Tengo pirexia no cuantificada hace una semana.,Pediatría
"Me quedé sordo de golpe, también refiere me mareo si muevo la cabeza.",Otorrinolaringología
Hay presencia de tos ferina de inicio súbito.,Pediatría
Hay presencia de bruxismo hace una semana.,Odontología
"Rechinar los dientes al dormir, también refiere tengo un nacido en la encía.",Odontología
No puedo pegar el ojo en toda la noche y siente escucho voces que nadie más oye.,Psiquiatría
Indica tener me duele mucho un testículo que no pasa.,Urología
"Pirexia no cuantificada, sumado a intolerancia a la vía oral.",Pediatría
Desde ayer tengo edema en miembros inferiores desde hace 3 días.,Cardiología
Siento que le dio el ataque y se sacudió que no pasa.,Neurología
Desde ayer tengo disminución de la agudeza visual desde esta mañana.,Oftalmología
Indica tener disminución de la agudeza visual de inicio súbito.,Oftalmología
"Siento hormigueo en medio cuerpo, también refiere todo me da vueltas y me tumba.",Neurología
"Doctor, tengo me duele mucho un testículo de inicio súbito.",Urología
Indica tener me duele la espalda baja a los lados hace una semana.,Nefrología
Tengo miodesopsias intermitente.,Oftalmología
Paciente refiere que me duelen todas las uniones de inicio súbito.,Reumatología
Indica tener dolor poliarticular desde hace 3 días.,Reumatología
Hay presencia de palpitaciones taquicárdicas constante.,Cardiología
Siento que síncope vasovagal que no pasa.,Cardiología
Desde ayer tengo me arde para orinar y voy a cada rato hace una semana.,Urología
Desde ayer tengo absceso periodontal desde esta mañana.,Odontología
Tengo intolerancia a la vía oral de inicio súbito.,Pediatría
"Me hinca el corazón, acompañado de siento como una pata de elefante en el pecho.",Cardiología
Veo mosquitas volando con la luz me molesta muchísimo.,Oftalmología
Manifiesta tengo sangre en las heces desde hace 3 días.,Oncología
Presento hipertensión resistente constante.,Nefrología
Se queja de se quemó con agua hirviendo desde esta mañana.,Emergencias
Fractura expuesta con limitación funcional articular.,Traumatología
Acude por presentar disuria y polaquiuria desde hace 3 días.,Urología
"Doctor, tengo no puedo mover la rodilla ni un poquito hace una semana.",Traumatología
Presenta sudoración nocturna y dice que mojo la cama de sudor en la noche.,Infectología
Se queja de tos productiva con esputo constante.,Neumología
Desde ayer tengo ictericia marcada desde hace 3 días.,Gastroenterología
Siento que tengo hongos en la piel desde esta mañana.,Dermatología
Se quemó con agua hirviendo y además se cortó feo y sale mucha sangre.,Emergencias
Me da me duele la espalda baja a los lados constante.,Nefrología
Acude por presentar me estoy secando de lo flaco hace una semana.,Oncología
Indica tener hiperemia conjuntival de inicio súbito.,Oftalmología
Ayúdeme con ánimo depresivo persistente desde hace 3 días.,Psiquiatría
Acude por presentar todo lo que come lo vomita hace una semana.,Pediatría
Paciente refiere que dermatitis atópica de inicio súbito.,Dermatología
Indica tener dolor pleurítico constante.,Neumología
Siento que disfunción eréctil constante.,Urología
Se queja de crisis de ansiedad generalizada de inicio súbito.,Psiquiatría
Manifiesta polidipsia y poliuria constante.,Endocrinología
Me enronché después de tomar la pastilla y siente me salió alergia por tocar algo.,Alergología
Indica tener proteinuria espumosa desde esta mañana.,Nefrología
Desde ayer tengo lesiones herpéticas hace una semana.,Infectología
Desde ayer tengo disnea paroxística nocturna constante.,Neumología
Tengo me duele la espalda baja a los lados desde hace 3 días.,Nefrología
Presenta hiperemia conjuntival y dice que tengo el ojo rojo como tomate.,Oftalmología
Desde ayer tengo la luz me molesta muchísimo desde esta mañana.,Oftalmología
Indica tener adenopatías generalizadas desde hace 3 días.,Infectología
Manifiesta temblor distal fino hace una semana.,Endocrinología
Siento que me arde la boca del estómago intermitente.,Gastroenterología
Presento prurito vulvar intermitente.,Ginecología
Presenta pirexia no cuantificada y dice que tiene una tos que no se le quita.,Pediatría
Indica tener me baja la regla muy fuerte y a deshora intermitente.,Ginecología
Paciente refiere que la luz me molesta muchísimo hace una semana.,Oftalmología
Indica tener irritabilidad y llanto constante desde esta mañana.,Pediatría
"Síncope vasovagal, acompañado de hipertensión arterial descontrolada.",Cardiología
Manifiesta tos productiva con esputo hace una semana.,Neumología
Dolor poliarticular y además artralgias matutinas.,Reumatología
Siento que tengo un dolor en el riñón que me dobla intermitente.,Urología
Tengo cervicalgia post-latigazo hace una semana.,Traumatología
Desde ayer tengo se tomó un veneno que no pasa.,Emergencias
Indica tener astenia y adinamia hace una semana.,Medicina General
Desde ayer tengo me duele la barriga un poco desde hace 3 días.,Medicina General
"Doctor, tengo quemadura de segundo grado intermitente.",Emergencias
Ayúdeme con oliguria intermitente.,Nefrología
Le dio el ataque y se sacudió y siente siento hormigueo en medio cuerpo.,Neurología
Paciente refiere que disnea de esfuerzo hace una semana.,Cardiología
Desde ayer tengo anafilaxia de inicio súbito.,Emergencias
Hay presencia de fractura expuesta desde hace 3 días.,Traumatología
Tengo amanecí con los ojos hinchados intermitente.,Nefrología
Presenta intolerancia a la vía oral y dice que el nene no para de llorar.,Pediatría
Se queja de me salió alergia por tocar algo desde hace 3 días.,Alergología
Dolor musculoesquelético difuso y siente dolor abdominal inespecífico.,Medicina General
Acude por presentar cambios en hábito intestinal constante.,Oncología
Me da me pica la nariz y los ojos desde hace 3 días.,Alergología
Manifiesta masa palpable no dolorosa desde hace 3 días.,Oncología
Pirexia no cuantificada con erupción exantemática.,Pediatría
Presento artralgias matutinas constante.,Reumatología
"Me siento decaído y sin fuerzas, acompañado de me duele todo el cuerpo.",Medicina General
"Doctor, tengo mastalgia cíclica desde hace 3 días.",Ginecología
Polidipsia y poliuria y además aumento de peso injustificado.,Endocrinología
Se queja de tengo la presión por las nubes desde esta mañana.,Cardiología
Se queja de tengo tos de perro con flema hace una semana.,Neumología
Ayúdeme con estoy amarillo como patito desde esta mañana.,Gastroenterología
Hay presencia de casi no estoy orinando nada de inicio súbito.,Nefrología
"Doctor, tengo angina de pecho estable hace una semana.",Cardiología
Presenta dolor precordial opresivo y dice que siento como una pata de elefante en el pecho.,Cardiología
Presento estoy aventado intermitente.,Gastroenterología
Lesiones herpéticas y siente adenopatías generalizadas.,Infectología
Presenta insomnio de conciliación y dice que me siento muy nervioso y con miedo.,Psiquiatría
"Masa palpable no dolorosa, acompañado de cambios en hábito intestinal.",Oncología
"Disnea de esfuerzo, acompañado de síncope vasovagal.",Cardiología
Ayúdeme con tengo una fiebre que no se me va desde esta mañana.,Infectología
Tengo tos de perro con flema y además me chilla el pecho al respirar.,Neumología
Paciente refiere que me duele la cintura bajito desde esta mañana.,Traumatología
Dolor en fosa renal con oliguria.,Nefrología
"Tengo las piernas hinchadas como tamal, también refiere me palpita feo el corazón.",Cardiología
Se queja de prurito ocular y nasal desde hace 3 días.,Alergología
"Doctor, tengo alopecia areata hace una semana.",Dermatología
"Doctor, tengo edema periorbitario de inicio súbito.",Nefrología
Paciente refiere que adenopatías generalizadas hace una semana.,Infectología
Indica tener cervicalgia post-latigazo que no pasa.,Traumatología
"Me mareo si muevo la cabeza, también refiere me duele full el oído derecho.",Otorrinolaringología
Ayúdeme con se me atranca la comida al pasar que no pasa.,Oncología
Manifiesta dolor abdominal inespecífico constante.,Medicina General
"La luz me molesta muchísimo, sumado a tengo el ojo rojo como tomate.",Oftalmología
Ayúdeme con se me atranca la comida al pasar hace una semana.,Oncología
Tengo se me ponen los dedos blancos con el frío intermitente.,Reumatología
"Tiene una tos que no se le quita, acompañado de todo lo que come lo vomita.",Pediatría
Indica tener me siento una bola dura que no duele desde hace 3 días.,Oncología
Manifiesta me duele toda la cabeza como si tuviera una vincha que no pasa.,Neurología
Presento polidipsia y poliuria constante.,Endocrinología
Fotofobia y siente diplopía.,Oftalmología
Manifiesta disfunción eréctil hace una semana.,Urología
Desde ayer tengo anafilaxia desde hace 3 días.,Emergencias
Siento que le dio el ataque y se sacudió desde esta mañana.,Neurología
Me da rinitis alérgica estacional constante.,Alergología
Acude por presentar leucorrea fétida desde esta mañana.,Ginecología
Me da tengo sarpullido que pica mucho que no pasa.,Dermatología
Siento que dolor en fosa renal intermitente.,Nefrología
Hay presencia de tengo un dolor en el riñón que me dobla que no pasa.,Urología
Se queja de intolerancia a la vía oral desde hace 3 días.,Pediatría
Me hinca el corazón y siente me palpita feo el corazón.,Cardiología
Presento dolor musculoesquelético difuso hace una semana.,Medicina General
Hay presencia de absceso periodontal hace una semana.,Odontología
Manifiesta dermatitis de contacto de inicio súbito.,Alergología
Desde ayer tengo sudoración nocturna desde hace 3 días.,Infectología
Presenta fractura expuesta y dice que no puedo mover la rodilla ni un poquito.,Traumatología
"Proteinuria espumosa, sumado a dolor en fosa renal.",Nefrología
Manifiesta rinitis alérgica estacional intermitente.,Alergología
Desde ayer tengo siento hormigueo en medio cuerpo constante.,Neurología
Indica tener reacción a medicamentos intermitente.,Alergología
Se queja de estoy viendo doble hace una semana.,Oftalmología
Desde ayer tengo me hinca el corazón que no pasa.,Cardiología
Acude por presentar se quemó con agua hirviendo constante.,Emergencias
"Doctor, tengo ánimo depresivo persistente que no pasa.",Psiquiatría
Desde ayer tengo dismenorrea incapacitante intermitente.,Ginecología
"Dermatitis atópica, acompañado de nevus displásico.",Dermatología
Manifiesta quemadura de segundo grado hace una semana.,Emergencias
Me vienen unos cólicos que me tumban y siente me baja la regla muy fuerte y a deshora.,Ginecología
Ayúdeme con diaforesis excesiva constante.,Endocrinología
"Tengo la cara llena de granos feos, acompañado de tengo sarpullido que pica mucho.",Dermatología
Manifiesta me mareo si muevo la cabeza de inicio súbito.,Otorrinolaringología
Desde ayer tengo me dio un soponcio y me caí de inicio súbito.,Cardiología
Hay presencia de me siento decaído y sin fuerzas de inicio súbito.,Medicina General
"Me hinca el corazón, sumado a se me va el aire al subir gradas.",Cardiología
Ayúdeme con tengo sangre en las heces desde esta mañana.,Oncología
Indica tener me vienen unos cólicos que me tumban desde esta mañana.,Ginecología
Indica tener intolerancia a la vía oral hace una semana.,Pediatría
Indica tener tos ferina constante.,Pediatría
Me da hipertensión resistente intermitente.,Nefrología
Se queja de hipertensión resistente desde hace 3 días.,Nefrología
Hay presencia de edema y equimosis post-traumática constante.,Traumatología
Acude por presentar se rompió la cabeza en la caída que no pasa.,Emergencias
Siento que ya no hago del baño como antes desde hace 3 días.,Oncología
Acude por presentar se me salió el hueso hace una semana.,Traumatología
Ayúdeme con estoy viendo doble de inicio súbito.,Oftalmología
"Temblor distal fino, también refiere polidipsia y poliuria.",Endocrinología
Ayúdeme con todo lo que come lo vomita desde esta mañana.,Pediatría
Presento dolor precordial opresivo hace una semana.,Cardiología
Presento crisis convulsiva tónico-clónica intermitente.,Neurología
Hay presencia de astenia y adinamia desde esta mañana.,Medicina General
Tengo se me atranca la comida al pasar constante.,Oncología
Tos ferina con intolerancia a la vía oral.,Pediatría
Tengo me ahogo cuando estoy durmiendo desde hace 3 días.,Neumología
Ayúdeme con ya no veo bien las letras de lejos de inicio súbito.,Oftalmología
"Doctor, tengo dolor precordial opresivo que no pasa.",Cardiología
Tengo dolor en fosa renal constante.,Nefrología
Me da parestesias en hemicuerpo intermitente.,Neurología
No puedo ni tragar del dolor de garganta y siente me sale sangre de la nariz.,Otorrinolaringología
"Rinitis alérgica estacional, también refiere reacción a medicamentos.",Alergología
Ayúdeme con prurito vulvar intermitente.,Ginecología
Siento que me palpita feo el corazón que no pasa.,Cardiología
Manifiesta tos productiva con esputo constante.,Neumología
Indica tener disfunción eréctil intermitente.,Urología
Indica tener cambios en hábito intestinal desde esta mañana.,Oncología
Odontalgia severa y siente absceso periodontal.,Odontología
Tengo me salió un lunar raro que no pasa.,Dermatología
Tengo problemas de potencia sexual y además estoy orinando sangre.,Urología
Paciente refiere que tos ferina que no pasa.,Pediatría
Paciente refiere que no puedo ni tragar del dolor de garganta de inicio súbito.,Otorrinolaringología
"Doctor, tengo me enronché después de tomar la pastilla hace una semana.",Alergología
Acude por presentar cefalea tensional holocraneal constante.,Neurología
Rinitis alérgica estacional y siente edema angioneurótico.,Alergología
Mastalgia cíclica y siente sangrado uterino anormal.,Ginecología
"Cefalea leve, acompañado de astenia y adinamia.",Medicina General
Me duele la muela horrible con rechinar los dientes al dormir.,Odontología
"Cambios en hábito intestinal, sumado a disfagia progresiva.",Oncología
Paciente refiere que dermatitis de contacto intermitente.,Alergología
"Doctor, tengo siento hormigueo en medio cuerpo hace una semana.",Neurología
Siento que cambios en hábito intestinal intermitente.,Oncología
Epigastralgia urente y siente reflujo gastroesofágico.,Gastroenterología
Crisis de ansiedad generalizada con insomnio de conciliación.,Psiquiatría
"Doctor, tengo gingivorragia de inicio súbito.",Odontología
"Doctor, tengo dolor musculoesquelético difuso de inicio súbito.",Medicina General
Siento que odinofagia intensa constante.,Otorrinolaringología
Leucorrea fétida con dismenorrea incapacitante.,Ginecología
Alopecia areata y siente acné nódulo-quístico.,Dermatología
Desde ayer tengo me duele la muela horrible hace una semana.,Odontología
"Disfunción eréctil, acompañado de hematuria macroscópica.",Urología
Siento que me arde para orinar y voy a cada rato hace una semana.,Urología
Hay presencia de aumento de peso injustificado que no pasa.,Endocrinología
Hipertensión arterial descontrolada y además síncope vasovagal.,Cardiología
Siento que insomnio de conciliación de inicio súbito.,Psiquiatría
"Tengo ganas de quitarme la vida, acompañado de me siento muy nervioso y con miedo.",Psiquiatría
Angina de pecho estable y además disnea de esfuerzo.,Cardiología
"Desde ayer tengo no tengo ganas de hacer nada, solo llorar que no pasa.",Psiquiatría
Sibilancias espiratorias y siente disnea paroxística nocturna.,Neumología
Siento que tengo una fiebre que no se me va que no pasa.,Infectología
Tengo fiebre de origen desconocido desde esta mañana.,Infectología
Se queja de hemorragia digestiva oculta desde hace 3 días.,Oncología
"Doctor, tengo fractura expuesta que no pasa.",Traumatología
Indica tener se está hinchando todo y no respira hace una semana.,Emergencias
Desde ayer tengo fotofobia hace una semana.,Oftalmología
Manifiesta me duele todo el cuerpo constante.,Medicina General
Tengo tengo el ojo rojo como tomate desde esta mañana.,Oftalmología
Se queja de irritabilidad y llanto constante de inicio súbito.,Pediatría
"Hematemesis, sumado a ictericia marcada.",Gastroenterología
Presento mastalgia cíclica desde hace 3 días.,Ginecología
Me da vértigo posicional desde esta mañana.,Otorrinolaringología
"Tengo la cara llena de granos feos, acompañado de tengo hongos en la piel.",Dermatología
"Mastalgia cíclica, sumado a dismenorrea incapacitante.",Ginecología
"Me estoy secando de lo flaco, también refiere me siento una bola dura que no duele.",Oncología
"Angina de pecho estable, acompañado de síncope vasovagal.",Cardiología
Indica tener el nene no para de llorar desde esta mañana.,Pediatría
Manifiesta veo lucecitas antes de que me duela la cabeza de inicio súbito.,Neurología
Ayúdeme con rigidez articular intermitente.,Reumatología
"Doctor, tengo se está hinchando todo y no respira que no pasa.",Emergencias
"Se me regresa la comida agria, acompañado de me arde la boca del estómago.",Gastroenterología
Me da tengo problemas de potencia sexual intermitente.,Urología
Paciente refiere que rechinar los dientes al dormir constante.,Odontología
Me da reflujo gastroesofágico de inicio súbito.,Gastroenterología
Siento que erupción exantemática desde hace 3 días.,Pediatría
Acude por presentar rechinar los dientes al dormir desde esta mañana.,Odontología
Se queja de me dio un soponcio y me caí hace una semana.,Cardiología
Presenta odinofagia intensa y dice que me sale sangre de la nariz.,Otorrinolaringología
Manifiesta adenopatías generalizadas desde esta mañana.,Infectología
"Doctor, tengo irritabilidad y llanto constante que no pasa.",Pediatría
Desde ayer tengo dolor musculoesquelético difuso de inicio súbito.,Medicina General
"Doctor, tengo edema y equimosis post-traumática desde hace 3 días.",Traumatología
Presenta cefalea leve y dice que tengo un dolorcito de cabeza.,Medicina General
Se queja de tengo una picazón allá abajo intermitente.,Ginecología
"Prurito vulvar, acompañado de sangrado uterino anormal.",Ginecología
Tengo disnea de esfuerzo intermitente.,Cardiología
Se queja de fractura expuesta hace una semana.,Traumatología
"Doctor, tengo edema en miembros inferiores hace una semana.",Cardiología
Desde ayer tengo le dio el ataque y se sacudió constante.,Neurología
"Edema angioneurótico, sumado a reacción a medicamentos.",Alergología
Me da tengo un nacido en la encía hace una semana.,Odontología
Acude por presentar el nene no para de llorar intermitente.,Pediatría
"Doctor, tengo tengo un descenso que huele mal hace una semana.",Ginecología
"Tengo sarpullido que pica mucho, acompañado de tengo la cara llena de granos feos.",Dermatología
"Cervicalgia post-latigazo, acompañado de limitación funcional articular.",Traumatología
Manifiesta diplopía desde esta mañana.,Oftalmología
Paciente refiere que artralgias matutinas que no pasa.,Reumatología
"Edema en miembros inferiores, acompañado de hipertensión arterial descontrolada.",Cardiología
Se queja de tengo un descenso que huele mal de inicio súbito.,Ginecología
Ayúdeme con dispepsia funcional constante.,Gastroenterología
Ayúdeme con todo lo que come lo vomita intermitente.,Pediatría
Siento que me duele la muela horrible intermitente.,Odontología
Desde ayer tengo la orina sale con mucha espuma que no pasa.,Nefrología
"Angina de pecho estable, sumado a dolor precordial opresivo.",Cardiología
Hay presencia de tos productiva con esputo constante.,Neumología
Presento me duele todo el cuerpo desde esta mañana.,Medicina General
Desde ayer tengo nevus displásico intermitente.,Dermatología
Hay presencia de edema en miembros inferiores desde hace 3 días.,Cardiología
Estoy con calentura y cuerpo cortado con tengo bolas en el cuello y axilas.,Infectología
"Fiebre de origen desconocido, sumado a adenopatías generalizadas.",Infectología
Ayúdeme con me dio un soponcio y me caí desde hace 3 días.,Cardiología
"Dolor abdominal inespecífico, también refiere rinorrea hialina.",Medicina General
Tengo intolerancia al frío desde hace 3 días.,Endocrinología
Dolor abdominal inespecífico y siente rinorrea hialina.,Medicina General
Manifiesta nevus displásico constante.,Dermatología
Manifiesta me cae mal todo lo que como hace una semana.,Gastroenterología
Siento que odinofagia intensa intermitente.,Otorrinolaringología
Siento que le dio el ataque y se sacudió de inicio súbito.,Neurología
Tengo halitosis de inicio súbito.,Odontología
Astenia y adinamia y siente cefalea leve.,Medicina General
"No tengo ganas de hacer nada, solo llorar, sumado a me siento muy nervioso y con miedo.",Psiquiatría
Desde ayer tengo estoy amarillo como patito desde hace 3 días.,Gastroenterología
Paciente refiere que todo me da vueltas y me tumba desde esta mañana.,Neurología
Manifiesta dolor precordial opresivo que no pasa.,Cardiología
Me da no puedo pegar el ojo en toda la noche desde hace 3 días.,Psiquiatría
Paciente refiere que me baja la regla muy fuerte y a deshora desde esta mañana.,Ginecología
Manifiesta me cae mal todo lo que como desde esta mañana.,Gastroenterología
Desde ayer tengo tos productiva con esputo de inicio súbito.,Neumología
"Se cortó feo y sale mucha sangre, acompañado de se tomó un veneno.",Emergencias
Me da sudoración nocturna que no pasa.,Infectología
Hay presencia de me siento una bola dura que no duele desde hace 3 días.,Oncología
Intolerancia a la vía oral y siente irritabilidad y llanto constante.,Pediatría
Desde ayer tengo erupción exantemática desde esta mañana.,Pediatría
"Me salieron ampollas dolorosas, sumado a tengo una fiebre que no se me va.",Infectología
Me da se está hinchando todo y no respira de inicio súbito.,Emergencias
Siento que se está hinchando todo y no respira intermitente.,Emergencias
Desde ayer tengo estoy vomitando sangre desde hace 3 días.,Gastroenterología
Hay presencia de tengo mal aliento desde esta mañana.,Odontología
Desde ayer tengo paso estornudando todo el día desde hace 3 días.,Alergología
Acude por presentar sudoración nocturna intermitente.,Infectología
Edema y equimosis post-traumática con algia lumbar mecánica.,Traumatología
"Se me está cayendo el pelo por parches, sumado a tengo la cara llena de granos feos.",Dermatología
Se queja de cefalea leve hace una semana.,Medicina General
Acude por presentar me mareo si muevo la cabeza intermitente.,Otorrinolaringología
Siento que se tomó un veneno intermitente.,Emergencias
Ayúdeme con hipoacusia súbita de inicio súbito.,Otorrinolaringología
Presenta temblor distal fino y dice que tengo mucha sed y orino bastante.,Endocrinología
"Doctor, tengo polidipsia y poliuria hace una semana.",Endocrinología
"Ictericia marcada, acompañado de distensión abdominal.",Gastroenterología
Me da crisis convulsiva tónico-clónica que no pasa.,Neurología
Se queja de veo lucecitas antes de que me duela la cabeza constante.,Neurología
"Amanecí con los ojos hinchados, también refiere casi no estoy orinando nada.",Nefrología
"Tengo un nacido en la encía, también refiere rechinar los dientes al dormir.",Odontología
Indica tener me siento muy nervioso y con miedo desde esta mañana.,Psiquiatría
Acné nódulo-quístico y además alopecia areata.,Dermatología
Acude por presentar me ahogo cuando estoy durmiendo constante.,Neumología
Presento prurito vulvar constante.,Ginecología
Hay presencia de le dio el ataque y se sacudió que no pasa.,Neurología
Paso con frío todo el tiempo con estoy engordando sin comer tanto.,Endocrinología
Acude por presentar reflujo gastroesofágico de inicio súbito.,Gastroenterología
